location,Excel,Excel,Excel
lat,51.33319,51.33319,51.33319
lon,-110.62500,-110.62500,-110.62500
asl,763.029,763.029,763.029
variable,Temperature,Temperature,Temperature
unit,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected
resolution,daily,daily,daily
aggregation,Maximum,Minimum,Mean
timestamp,Excel Temperature [2 m elevation corrected],Excel Temperature [2 m elevation corrected],Excel Temperature [2 m elevation corrected]
20220707T0000,27.918188,13.948188,20.66902
20220708T0000,30.488188,14.228188,23.876524
20220709T0000,28.068188,14.128188,23.401102
20220710T0000,22.808187,13.908188,18.885687
20220711T0000,26.378187,11.378188,20.64277
20220712T0000,32.908188,13.508187,24.480684
20220713T0000,34.37819,12.998188,25.429436
20220714T0000,29.618187,11.618188,21.823603
20220715T0000,33.51819,13.868188,25.440271
20220716T0000,32.818188,14.978188,24.946524
20220717T0000,30.978188,15.748188,23.593187
20220718T0000,24.948187,13.718187,19.469854
20220719T0000,27.848188,12.388187,20.904858
20220720T0000,25.618187,10.938188,19.335272
20220721T0000,29.338188,14.438188,22.66819
